,Meta Data,Time Series (30min)
1. Information,"Intraday (30min) open, high, low, close prices and volume",
2. Symbol,ANET,
3. Last Refreshed,2025-02-28 19:30:00,
4. Interval,30min,
5. Output Size,Compact,
6. Time Zone,US/Eastern,
2025-02-28 19:30:00,,"{'1. open': '93.8000', '2. high': '94.0000', '3. low': '93.1600', '4. close': '93.3999', '5. volume': '1735'}"
2025-02-28 19:00:00,,"{'1. open': '93.0500', '2. high': '93.7999', '3. low': '93.0500', '4. close': '93.7999', '5. volume': '2310528'}"
2025-02-28 18:30:00,,"{'1. open': '93.0500', '2. high': '93.5000', '3. low': '93.0500', '4. close': '93.2700', '5. volume': '2310830'}"
2025-02-28 18:00:00,,"{'1. open': '93.1100', '2. high': '93.2000', '3. low': '93.1100', '4. close': '93.1700', '5. volume': '1346'}"
2025-02-28 17:30:00,,"{'1. open': '93.0710', '2. high': '93.5000', '3. low': '93.0600', '4. close': '93.0710', '5. volume': '924'}"
2025-02-28 17:00:00,,"{'1. open': '93.5000', '2. high': '93.5000', '3. low': '92.9345', '4. close': '93.2800', '5. volume': '584'}"
2025-02-28 16:30:00,,"{'1. open': '93.2500', '2. high': '93.4800', '3. low': '93.0110', '4. close': '93.2500', '5. volume': '315858'}"
2025-02-28 16:00:00,,"{'1. open': '93.0700', '2. high': '97.9000', '3. low': '92.7000', '4. close': '93.2500', '5. volume': '7916420'}"
2025-02-28 15:30:00,,"{'1. open': '91.7600', '2. high': '93.1800', '3. low': '91.3600', '4. close': '93.0900', '5. volume': '1452741'}"
2025-02-28 15:00:00,,"{'1. open': '91.5500', '2. high': '91.9300', '3. low': '91.3200', '4. close': '91.7600', '5. volume': '448278'}"
2025-02-28 14:30:00,,"{'1. open': '91.1500', '2. high': '91.7200', '3. low': '91.0500', '4. close': '91.5797', '5. volume': '369474'}"
2025-02-28 14:00:00,,"{'1. open': '90.8500', '2. high': '91.3400', '3. low': '90.8300', '4. close': '91.1400', '5. volume': '309521'}"
2025-02-28 13:30:00,,"{'1. open': '91.1300', '2. high': '91.7500', '3. low': '90.8093', '4. close': '90.8596', '5. volume': '619017'}"
2025-02-28 13:00:00,,"{'1. open': '90.6200', '2. high': '91.1700', '3. low': '90.3500', '4. close': '91.1400', '5. volume': '718742'}"
2025-02-28 12:30:00,,"{'1. open': '91.8700', '2. high': '92.0800', '3. low': '90.6100', '4. close': '90.6400', '5. volume': '616764'}"
2025-02-28 12:00:00,,"{'1. open': '91.5900', '2. high': '92.3200', '3. low': '91.4400', '4. close': '91.8500', '5. volume': '379406'}"
2025-02-28 11:30:00,,"{'1. open': '91.6000', '2. high': '92.2800', '3. low': '91.4100', '4. close': '91.6250', '5. volume': '487080'}"
2025-02-28 11:00:00,,"{'1. open': '93.1200', '2. high': '93.1400', '3. low': '91.6000', '4. close': '91.6350', '5. volume': '629125'}"
2025-02-28 10:30:00,,"{'1. open': '92.6600', '2. high': '93.1800', '3. low': '92.2685', '4. close': '93.1350', '5. volume': '670322'}"
2025-02-28 10:00:00,,"{'1. open': '91.3300', '2. high': '92.7100', '3. low': '90.7100', '4. close': '92.7100', '5. volume': '969709'}"
2025-02-28 09:30:00,,"{'1. open': '90.9700', '2. high': '92.4084', '3. low': '90.4100', '4. close': '91.4400', '5. volume': '1053897'}"
2025-02-28 09:00:00,,"{'1. open': '90.9000', '2. high': '91.3000', '3. low': '90.1200', '4. close': '90.9400', '5. volume': '11868'}"
2025-02-28 08:30:00,,"{'1. open': '90.5000', '2. high': '91.7000', '3. low': '90.1500', '4. close': '90.7000', '5. volume': '14350'}"
2025-02-28 08:00:00,,"{'1. open': '91.2500', '2. high': '92.8700', '3. low': '90.1500', '4. close': '90.1707', '5. volume': '40247'}"
2025-02-28 07:30:00,,"{'1. open': '91.5800', '2. high': '91.5800', '3. low': '91.1800', '4. close': '91.3000', '5. volume': '7001'}"
2025-02-28 07:00:00,,"{'1. open': '92.1800', '2. high': '92.1900', '3. low': '91.0100', '4. close': '91.5800', '5. volume': '6019'}"
2025-02-28 06:30:00,,"{'1. open': '92.4100', '2. high': '92.4200', '3. low': '92.0700', '4. close': '92.0700', '5. volume': '1417'}"
2025-02-28 06:00:00,,"{'1. open': '92.5900', '2. high': '92.6400', '3. low': '92.3100', '4. close': '92.4600', '5. volume': '881'}"
2025-02-28 05:30:00,,"{'1. open': '92.1200', '2. high': '92.6100', '3. low': '92.1200', '4. close': '92.6000', '5. volume': '1968'}"
2025-02-28 05:00:00,,"{'1. open': '92.0400', '2. high': '92.1800', '3. low': '91.9800', '4. close': '92.0500', '5. volume': '5715'}"
2025-02-28 04:30:00,,"{'1. open': '92.2300', '2. high': '92.2300', '3. low': '92.0100', '4. close': '92.0100', '5. volume': '2169'}"
2025-02-28 04:00:00,,"{'1. open': '90.0700', '2. high': '92.4600', '3. low': '90.0700', '4. close': '91.9900', '5. volume': '2466'}"
2025-02-27 19:30:00,,"{'1. open': '91.9950', '2. high': '92.2000', '3. low': '91.8000', '4. close': '91.8900', '5. volume': '2759'}"
2025-02-27 19:00:00,,"{'1. open': '91.5700', '2. high': '92.2000', '3. low': '91.5700', '4. close': '91.9800', '5. volume': '956569'}"
2025-02-27 18:30:00,,"{'1. open': '91.5700', '2. high': '92.2000', '3. low': '91.5700', '4. close': '92.2000', '5. volume': '955619'}"
2025-02-27 18:00:00,,"{'1. open': '92.1000', '2. high': '92.3500', '3. low': '91.7100', '4. close': '92.1555', '5. volume': '5342'}"
2025-02-27 17:30:00,,"{'1. open': '91.9500', '2. high': '92.3700', '3. low': '91.7100', '4. close': '92.1000', '5. volume': '4054'}"
